Postal Code,Date,Sentiment,Year
80234,2024-12-31,Negative,2024
80211,2024-12-31,Positive,2024
80221,2024-12-31,Neutral,2024
80120,2024-12-31,Positive,2024
80219,2024-12-31,Positive,2024
80014,2024-12-31,Positive,2024
80204,2024-12-31,Neutral,2024
80002,2024-12-31,Neutral,2024
80211,2024-12-31,Positive,2024
80016,2024-12-31,Neutral,2024
80219,2024-12-31,Positive,2024
80211,2024-12-31,Positive,2024
80211,2024-12-31,Negative,2024
80219,2024-12-31,Negative,2024
80204,2024-12-31,Positive,2024
80238,2024-12-31,Neutral,2024
80221,2024-12-31,Positive,2024
80016,2024-12-31,Neutral,2024
80016,2024-12-31,Negative,2024
80002,2024-12-30,Neutral,2024
80221,2024-12-30,Neutral,2024
80204,2024-12-30,Negative,2024
80238,2024-12-30,Positive,2024
80204,2024-12-30,Negative,2024
80016,2024-12-30,Neutral,2024
80002,2024-12-30,Positive,2024
80211,2024-12-30,Positive,2024
80204,2024-12-30,Positive,2024
80014,2024-12-30,Positive,2024
80014,2024-12-30,Negative,2024
80211,2024-12-30,Positive,2024
80120,2024-12-30,Positive,2024
80120,2024-12-30,Positive,2024
80234,2024-12-30,Negative,2024
80234,2024-12-29,Positive,2024
80211,2024-12-29,Neutral,2024
80016,2024-12-29,Positive,2024
80014,2024-12-29,Neutral,2024
80221,2024-12-29,Positive,2024
80014,2024-12-29,Positive,2024
80211,2024-12-29,Neutral,2024
80221,2024-12-29,Positive,2024
80219,2024-12-29,Negative,2024
80211,2024-12-29,Positive,2024
80002,2024-12-29,Negative,2024
80014,2024-12-29,Positive,2024
80221,2024-12-29,Neutral,2024
80219,2024-12-29,Positive,2024
80221,2024-12-29,Positive,2024
80120,2024-12-29,Neutral,2024
80238,2024-12-29,Negative,2024
80204,2024-12-29,Positive,2024
80016,2024-12-29,Positive,2024
80219,2024-12-29,Positive,2024
80016,2024-12-29,Positive,2024
80016,2024-12-29,Positive,2024
80120,2024-12-29,Positive,2024
80016,2024-12-28,Neutral,2024
80211,2024-12-28,Positive,2024
80219,2024-12-28,Negative,2024
80238,2024-12-28,Positive,2024
80238,2024-12-28,Positive,2024
80219,2024-12-28,Positive,2024
80219,2024-12-28,Neutral,2024
80204,2024-12-28,Neutral,2024
80016,2024-12-28,Positive,2024
