Postal Code,Date,Sentiment,Year
80002,2016-01-01,Positive,2016
80204,2016-01-01,Neutral,2016
80014,2016-01-01,Positive,2016
80002,2016-01-01,Positive,2016
80120,2016-01-01,Neutral,2016
80234,2016-01-01,Negative,2016
80221,2016-01-02,Positive,2016
80238,2016-01-02,Positive,2016
80221,2016-01-02,Negative,2016
80238,2016-01-02,Negative,2016
80016,2016-01-02,Positive,2016
80211,2016-01-02,Neutral,2016
80221,2016-01-02,Positive,2016
80238,2016-01-03,Positive,2016
80204,2016-01-03,Negative,2016
80211,2016-01-03,Neutral,2016
80014,2016-01-03,Positive,2016
80002,2016-01-03,Positive,2016
80219,2016-01-03,Positive,2016
80238,2016-01-03,Positive,2016
80016,2016-01-04,Negative,2016
80234,2016-01-04,Positive,2016
80204,2016-01-04,Positive,2016
80014,2016-01-04,Negative,2016
80204,2016-01-04,Negative,2016
80211,2016-01-04,Neutral,2016
80221,2016-01-04,Positive,2016
80221,2016-01-04,Positive,2016
80211,2016-01-04,Positive,2016
80211,2016-01-04,Negative,2016
80211,2016-01-04,Neutral,2016
80014,2016-01-04,Neutral,2016
80234,2016-01-04,Neutral,2016
80219,2016-01-04,Negative,2016
80120,2016-01-05,Neutral,2016
80002,2016-01-05,Neutral,2016
80014,2016-01-05,Positive,2016
80016,2016-01-05,Positive,2016
80204,2016-01-05,Positive,2016
80002,2016-01-05,Positive,2016
80016,2016-01-05,Positive,2016
80238,2016-01-05,Negative,2016
80204,2016-01-05,Positive,2016
80204,2016-01-05,Neutral,2016
80211,2016-01-05,Positive,2016
80234,2016-01-06,Positive,2016
80014,2016-01-06,Neutral,2016
80219,2016-01-06,Positive,2016
80238,2016-01-06,Positive,2016
80204,2016-01-06,Positive,2016
80120,2016-01-06,Positive,2016
80002,2016-01-06,Positive,2016
80014,2016-01-06,Positive,2016
80234,2016-01-07,Positive,2016
80204,2016-01-07,Positive,2016
80204,2016-01-07,Positive,2016
80234,2016-01-07,Positive,2016
80016,2016-01-07,Negative,2016
80014,2016-01-07,Positive,2016
80002,2016-01-07,Positive,2016
80014,2016-01-07,Positive,2016
80014,2016-01-07,Positive,2016
80219,2016-01-08,Neutral,2016
80016,2016-01-08,Neutral,2016
80204,2016-01-08,Positive,2016
80219,2016-01-08,Positive,2016
80016,2016-01-08,Negative,2016
80219,2016-01-08,Positive,2016
80238,2016-01-08,Positive,2016
80014,2016-01-08,Positive,2016
80120,2016-01-08,Positive,2016
80002,2016-01-08,Positive,2016
80219,2016-01-08,Positive,2016
80219,2016-01-09,Neutral,2016
80120,2016-01-09,Neutral,2016
80002,2016-01-09,Neutral,2016
80016,2016-01-09,Positive,2016
80014,2016-01-09,Positive,2016
80002,2016-01-09,Negative,2016
80221,2016-01-09,Positive,2016
80204,2016-01-09,Positive,2016
80238,2016-01-09,Negative,2016
80211,2016-01-09,Positive,2016
80211,2016-01-09,Positive,2016
80120,2016-01-09,Positive,2016
80002,2016-01-10,Positive,2016
80204,2016-01-10,Positive,2016
80238,2016-01-10,Positive,2016
80002,2016-01-10,Negative,2016
80238,2016-01-10,Positive,2016
80238,2016-01-10,Positive,2016
80211,2016-01-10,Negative,2016
80120,2016-01-11,Positive,2016
80002,2016-01-11,Positive,2016
80016,2016-01-11,Positive,2016
80234,2016-01-11,Negative,2016
80238,2016-01-11,Positive,2016
80204,2016-01-11,Neutral,2016
80221,2016-01-11,Negative,2016
80204,2016-01-11,Positive,2016
80211,2016-01-11,Positive,2016
80219,2016-01-11,Neutral,2016
80002,2016-01-11,Positive,2016
80211,2016-01-11,Positive,2016
80120,2016-01-12,Positive,2016
80234,2016-01-12,Positive,2016
80219,2016-01-12,Positive,2016
80120,2016-01-12,Positive,2016
80238,2016-01-12,Negative,2016
80234,2016-01-12,Positive,2016
80221,2016-01-13,Neutral,2016
80221,2016-01-13,Positive,2016
80211,2016-01-13,Neutral,2016
80238,2016-01-13,Neutral,2016
80204,2016-01-13,Neutral,2016
80221,2016-01-13,Positive,2016
80234,2016-01-13,Positive,2016
80238,2016-01-13,Positive,2016
80204,2016-01-13,Positive,2016
80238,2016-01-13,Positive,2016
80120,2016-01-13,Positive,2016
80014,2016-01-13,Negative,2016
80120,2016-01-14,Positive,2016
80120,2016-01-14,Positive,2016
80002,2016-01-14,Negative,2016
80016,2016-01-14,Neutral,2016
80238,2016-01-14,Negative,2016
80002,2016-01-14,Positive,2016
80016,2016-01-14,Positive,2016
80219,2016-01-14,Positive,2016
80211,2016-01-14,Positive,2016
80221,2016-01-15,Positive,2016
80211,2016-01-15,Positive,2016
80014,2016-01-15,Neutral,2016
80014,2016-01-15,Positive,2016
80234,2016-01-15,Negative,2016
80234,2016-01-15,Negative,2016
80120,2016-01-15,Positive,2016
80016,2016-01-15,Negative,2016
80204,2016-01-15,Negative,2016
80221,2016-01-15,Negative,2016
80002,2016-01-15,Positive,2016
80120,2016-01-15,Positive,2016
80002,2016-01-15,Negative,2016
80016,2016-01-15,Positive,2016
80234,2016-01-15,Neutral,2016
80219,2016-01-16,Positive,2016
80014,2016-01-16,Negative,2016
80204,2016-01-16,Neutral,2016
80238,2016-01-16,Negative,2016
80211,2016-01-16,Neutral,2016
80204,2016-01-16,Positive,2016
80211,2016-01-16,Positive,2016
80014,2016-01-16,Neutral,2016
80221,2016-01-16,Positive,2016
80221,2016-01-16,Neutral,2016
80204,2016-01-17,Positive,2016
80014,2016-01-17,Negative,2016
80204,2016-01-17,Positive,2016
80014,2016-01-17,Negative,2016
80211,2016-01-17,Neutral,2016
80016,2016-01-17,Positive,2016
80219,2016-01-17,Positive,2016
80221,2016-01-18,Negative,2016
80219,2016-01-18,Neutral,2016
80234,2016-01-18,Positive,2016
80014,2016-01-18,Neutral,2016
80211,2016-01-18,Neutral,2016
80211,2016-01-18,Positive,2016
80234,2016-01-18,Positive,2016
80014,2016-01-19,Positive,2016
